year,industry,code,label,label,6000201001O0,6000207003O0,6000403001O0,6000901001D3,6000901002D1,6000901002D3,6000902001D2,6000903001D2,6000903016D1,6000904001D3,6000906001D6,6000908001D2,6000908001D3,6000908001D7,CO10100170O0,DR00000052,DR00000082,DR00000113,DR00000136,DR00000156,FNMKFN02,S41000210FD1,S41000210FD2,S41B0D1009O0
2017,C,217190,0,0,0.48784799,1.498860852,2.044506952,12.91404532,-0.290843474,0.24538154,2.424419947,-0.2708222,-0.235578223,0,-0.179699765,15.24782663,-0.666376978,1,0.204754138,0,0,0,0,0,0,-1.720438001,-2.219164399,0.525266414
2016,C,97870,0,0,1.809874131,1.498860852,2.044506952,13.40191855,0.07735122,-0.227256721,2.424419947,-1.074353786,0.746976052,1,-1.951849101,13.64495062,0.386142013,0,0.277946491,0,0,0,0,0,0,-1.194746317,-1.13275729,0.525266414
2015,C,115610,0,0,1.809874131,1.498860852,2.044506952,12.74887719,0.07735122,-0.227256721,2.424419947,-1.074353786,0.315955427,1,-1.951849101,12.51501659,0.215609666,0,0.543432196,0,0,0,0,0,0,0.970750038,1.153844767,0.689667356
2017,C,93050,0,0,1.809874131,1.498860852,2.044506952,16.49423594,0.07735122,-0.227256721,2.424419947,-1.074353786,0.532842991,0,-1.951849101,16.01191739,0.23409175,0,0.543432196,0,0,0,0,0,0,0.349584168,1.042288412,0.525266414
2013,C,5030,0,0,1.809874131,1.498860852,0.98022093,14.64436297,-1.321175783,0.24538154,0.355231301,-1.753984549,-0.189983644,1,-0.003421391,14.826951,-0.108716399,1,0.543432196,0,0,0,1,0,0,-0.445308773,-0.61853015,0.525266414
2014,C,80470,0,0,1.809874131,1.498860852,0.477499096,13.90442568,-0.547152859,-0.227256721,1.107949395,-0.741154129,0.133619936,1,-1.951849101,14.53981722,0.096755024,0,0.699102488,1,0,1,0,0,0,-1.799544279,-1.68343234,0.369163018
2013,C,45890,0,0,0.138126095,1.498860852,0.026458946,13.83199427,-1.298330012,0.24538154,2.424419947,-0.705908485,-0.427248144,0,-1.951849101,16.52597488,0.145036275,0,0.543432196,0,0,0,1,0,0,0.35893782,0.454049848,0.249157602
2015,G,51380,0,0,0.036816911,1.498860852,3.070979961,13.04107626,0.07735122,-0.227256721,2.424419947,-0.408464586,0.012844727,0,-1.951849101,14.0803558,0.010053499,0,0.543432196,0,0,0,1,1,0,0.609907361,0.251406212,0.330781635
2015,C,105330,0,0,1.809874131,1.498860852,2.044506952,13.3383631,0.07735122,-0.227256721,2.424419947,-1.074353786,0.323951521,1,-1.951849101,14.30340936,0.058561773,0,0.462727185,0,0,0,0,0,0,-0.004992049,0.075690351,0.525266414
2014,C,43360,0,0,1.809874131,1.498860852,2.044506952,13.21445011,0.07735122,-0.227256721,2.424419947,-1.074353786,0.901115643,0,-0.001156035,14.03110522,0.143656985,0,0.344539533,1,0,0,0,0,0,-0.120104431,-0.167320157,0.525266414
2017,F,13700,0,0,0.140934239,0.044843816,0.510387441,14.06091284,-0.625502469,-0.227256721,0.31326991,-0.684255118,-0.161769793,0,-1.951849101,14.57581798,0.325298743,0,1.048865944,0,0,0,0,0,1,-0.670901127,-0.137031743,0.525266414
2014,C,9780,0,0,1.809874131,1.498860852,0.486895766,14.01327324,-0.874935413,0.24538154,0.121695139,-1.015323367,0.129217386,0,-1.951849101,13.57096235,0.200369348,0,1.991367471,0,0,0,0,0,0,1.104023381,0.776759954,0.525266414
2017,C,190510,0,0,1.809874131,1.498860852,1.412467741,14.07845443,-0.997414222,-0.227256721,0.649258414,-1.647624798,-0.736767651,2,-0.158753673,16.85768599,-1.604753507,1,0.543432196,0,0,0,0,0,0,-2.94616862,-3.272067609,0.525266414
2017,P,68930,0,0,1.809874131,1.498860852,2.044506952,13.76967058,-0.546312052,0.24538154,2.424419947,-1.074353786,0.117849979,0,-1.951849101,14.08134837,0.429118197,0,0.225751944,0,0,1,0,0,0,-0.447474094,0.293471339,0.525266414
2014,C,39860,0,0,1.809874131,0.512427025,2.044506952,12.94791017,0.07735122,-0.227256721,2.424419947,-1.074353786,-0.545626919,0,-0.172433799,14.49155884,-0.325689137,1,0.543432196,1,0,0,0,0,0,0.368841589,-0.3760824,0.525266414
2014,C,5490,0,0,1.809874131,1.498860852,2.044506952,20.53402424,-0.200147706,0.24538154,0.435888592,-0.178904659,0.528796131,0,-1.951849101,20.43379931,0.02680538,0,0.543432196,0,0,0,0,0,0,-0.239278246,-0.102609381,0.525266414
2015,J,126560,0,0,1.809874131,1.498860852,2.044506952,15.63997984,0.07735122,0.24538154,2.424419947,-1.074353786,0.317534621,1,-1.951849101,15.72391746,0.315778411,0,1.699197997,0,0,0,0,0,0,-0.611466805,-1.367031609,0.525266414
