main,key,origin_code,code_nm,type,size,gap_size,mean,median,min,max,stdev
,EN01174011,1174011,기업결합금액,amount,small,,3803.276685,3819,1652,5936,1646.848822
,S430000100O0,S430000100,"액면가(원,US센트)",amount,small,,1324.365578,500,0,5000,1710.873023
,EN02703021,2703021,개인채권발행금액,amount,small,,2462.421453,1959,1644,3967,868.7034875
,EN01067011,1067011,외환보유액,amount,small,,3684.922371,3680,3465,3893,138.1106819
,I310020532O0,I310020532,순매수대금(기타금융)(백만원),amount,small,,-28.78704432,-7,-2761,2242,533.6330638
,EN01094012,1094012,총여신,amount,small,,1641.253475,1664.3,1441.6,1775.9,120.5347598
,EN01144012,1144012,원자재_에틸렌,amount,small,,1220.234411,1194,1094.23,1419.28,124.7275648
,I310021231O0,I310021231,순매수수량(기관/외국인계)(천주),amount,small,,19.16050354,49,-2835,1284,485.7252417
M116,EN00107501,107501,어음부도업체수,amount,small,,711.7060058,720,494,1001,184.8725956
,I310020931O0,I310020931,순매수수량(등록외국인)(천주),amount,small,,13.20285864,10,-3253,931,426.0855686
,EN01144011,1144011,원자재_나프타,amount,small,,626.0448597,497,400.03,926.15,212.1083074
,I310021131O0,I310021131,순매수수량(외국인계)(천주),amount,small,,19.2368214,18,-3240,916,427.9486993
M117,EN01143011,1143011,원자재_열연,amount,small,,637.5958563,677,466,718,93.41397112
M116,EN01182011,1182011,부도법인수,amount,small,,525.7317073,516,393,705,114.4666059
,EN02703011,2703011,국채발행금액,amount,small,,547.7705219,545,453,617,64.5556707
M117,EN01143012,1143012,원자재_철수입,amount,small,,339.0062943,352,267,406,57.22469378
,I310023131O0,I310023131,순매수수량(사모펀드)(천주),amount,small,,3.617755049,1,-163,346,68.32590016
,EN02703012,2703012,회사채발행금액,amount,small,,270.8263834,269,267,279,4.448884024
,EN01219012,1219012,건설투자동향,amount,small,,219.3901915,211.5,196.3,251.1,21.35641724
,I310024131O0,I310024131,순매수수량(국가)(천주),amount,small,,6.144112248,3,-178,242,42.73621451
,EN01144013,1144013,원자재_두바이원유,amount,small,,68.25120378,53.1,41.36,105.33,25.78126131
,EN01081011,1081011,일반회사채발행규모,amount,small,,35.90820876,41,24,42,7.183224057
,BKMKBOK041,MKBOK041,수출-수입액(한국),amount,small,,16.25305009,15.4475,14.18,18.955,1.807712637
,P6000909041O0,P6000909041,"배당금지급(영업,투자,재무)(억원)",amount,small,,-4414.825551,-2010.895021,-69107.84878,0,7753.834498
M008,6000904001D3,6000904001,매출액(천원)_연속감소,count,,,0.605635739,0,0,3,0.89746255
M118,DR00000005,5,y1_매매거래정지,count,,,0.044846577,0,0,4,0.256226544
,DR00000006,6,y1_횡령및배임,count,,,0.002491477,0,0,1,0.049852473
,DR00000007,7,y1_회생절차폐지,count,,,0,0,0,0,0
,DR00000008,8,y1_회생절차,count,,,0.001835825,0,0,1,0.042807179
,DR00000009,9,y1_회사분할합병,count,,,0.059402046,0,0,3,0.245091031
,DR00000010,10,y1_현저한시황변동_급락,count,,,0.006949908,0,0,2,0.087683459
,DR00000011,11,y1_현저한시황변동_급등,count,,,0.064647259,0,0,3,0.274143374
,DR00000012,12,y1_현저한시황변동,count,,,0.161814844,0,0,9,0.482355942
,DR00000013,13,y1_해산사유발생,count,,,0.000655652,0,0,1,0.025597301
,DR00000014,14,y1_풍문또는보도,count,,,0.037241018,0,0,5,0.214056138
,DR00000015,15,y1_풋백옵션계약,count,,,0.002098085,0,0,1,0.045756787
,DR00000016,16,y1_투자자보호관련,count,,,0,0,0,0,0
,DR00000017,17,y1_타인담보결정,count,,,0,0,0,0,0
M113,DR00000018,18,y1_타법인주식및출자증권양도,count,,,0.023603462,0,0,4,0.177309561
,DR00000019,19,y1_최대주주변동,count,,,0.838971938,0,0,12,1.924835187
,DR00000020,20,y1_채무인수,count,,,0,0,0,0,0
,DR00000021,21,y1_채무보증,count,,,0,0,0,0,0
,DR00000022,22,y1_채무면제,count,,,0,0,0,0,0
,DR00000023,23,y1_조건부자본발행,count,,,0,0,0,0,0
,DR00000024,24,y1_자산및영업양수도,count,,,0.096380803,0,0,6,0.336237047
,DR00000025,25,y1_자사주취득해지,count,,,0.076973512,0,0,4,0.316479899
,DR00000026,26,y1_자사주취득,count,,,0.153291372,0,0,8,0.490641822
,DR00000027,27,y1_자기주식처분,count,,,0.156045109,0,0,12,0.607487411
M119,DR00000028,28,y1_유상증자,count,,,0.150931025,0,0,6,0.508423458
,DR00000029,29,y1_유무상증자,count,,,0.00367165,0,0,1,0.060482796
,DR00000030,30,y1_위험기업우려,count,,,0.016784684,0,0,5,0.181728869
,DR00000031,31,y1_위법사유발생,count,,,0.000262261,0,0,1,0.016192341
,DR00000032,32,y1_영업정지,count,,,0.005769735,0,0,2,0.082374074
,DR00000033,33,y1_업종변경,count,,,0.00380278,0,0,1,0.06154932
,DR00000034,34,y1_심사위원회속개,count,,,0.001704694,0,0,2,0.047183788
,DR00000035,35,y1_소송등의제기,count,,,0.009965906,0,0,4,0.137052728
,DR00000036,36,y1_상장폐지이의신청,count,,,0.002491477,0,0,1,0.049852473
,DR00000037,37,y1_사외이사변경에관한신고,count,,,0.506425387,0,0,7,0.661419009
M120,DR00000038,38,y1_불성실공시,count,,,0.055205875,0,0,6,0.326260859
,DR00000039,39,y1_무상증자,count,,,0.026488329,0,0,2,0.164614705
M121,DR00000040,40,y1_메자닌채권발행,count,,,0.165617624,0,0,7,0.535621355
,DR00000041,41,y1_공개매수,count,,,0.002884868,0,0,2,0.062654512
,DR00000042,42,y1_경영위임해지,count,,,0,0,0,0,0
,DR00000043,43,y1_경영위임,count,,,0,0,0,0,0
,DR00000044,44,y1_개선기간부여,count,,,0.002229216,0,0,1,0.047161917
,DR00000045,45,y1_감자,count,,,0.013768686,0,0,2,0.119857797
,DR00000046,46,y1_보증및출자법인파산,count,,,0.005638605,0,0,4,0.102906579
,DR00000047,47,y1_감사위원중도퇴임,count,,,0.075399948,0,0,3,0.280413371
M112,DR00000048,48,y1_소액공모,count,,,0.030291109,0,0,2,0.180334928
,DR00000049,49,y1_주주총회소집,count,,,1.141883032,1,0,6,0.519042391
,DR00000050,50,y1_지정자문인계약해지,count,,,0,0,0,0,0
,DR00000051,51,y1_손익구조급변동,count,,,0.80907422,1,0,2,0.396022061
M111,DR00000052,52,y1_대표이사변경,count,,,0.147915028,0,0,4,0.438919567
,DR00000053,53,y1_금전대여,count,,,0.035536323,0,0,5,0.231124475
M122,DR00000054,54,y1_투자주의,count,,,0.481117231,0,0,9,0.992482951
,DR00000055,55,y1_원리금연체,count,,,0.005769735,0,0,4,0.096995334
M123,DR00000056,56,y1_추가상장,count,,,0.683451351,0,0,12,1.418650432
,DR00000057,57,y1_유동성공급계약해지,count,,,0.00380278,0,0,1,0.06154932
,DR00000058,58,y1_상호변경,count,,,0.05337005,0,0,4,0.311354829
