Date,Close_x,Open_x,High_x,Low_x,Volume_x,Change_x,Close_y,Open_y,High_y,Low_y,Volume_y,Change_y
2017-10-10,52800,53360,53640,52800,19830000.0,-0.9793999999999999,2433.81,2425.63,2443.2,2421.1,221740.0,0.016399999999999998
2017-10-11,54640,53600,54760,53340,12900000.0,0.0348,2458.16,2442.49,2458.16,2439.81,201770.0,0.01
2017-10-12,54800,54840,55160,54100,13730000.0,0.0029,2474.76,2461.7,2474.76,2459.48,256209.99999999997,0.0068000000000000005
2017-10-13,54000,54540,54840,53780,12520000.0,-0.0146,2473.62,2473.65,2479.73,2468.14,234800.0,-0.0005
2017-10-16,53920,53980,54860,53760,8960000.0,-0.0015,2480.05,2483.17,2487.71,2470.24,224410.0,0.0026
2017-10-17,54800,54020,55380,54000,10570000.0,0.0163,2484.37,2484.96,2487.88,2478.76,199050.0,0.0017000000000000001
2017-10-18,54760,54820,55240,54040,10030000.0,-0.0007000000000000001,2482.91,2481.53,2490.58,2475.67,244250.0,-0.0006
2017-10-19,52980,54700,54700,52980,11970000.0,-0.0325,2473.06,2485.72,2490.94,2468.67,236630.0,-0.004
2017-10-20,53840,52800,54100,52800,7860000.0,0.016200000000000003,2489.54,2477.3,2489.54,2476.88,313210.0,0.0067
2017-10-23,54300,54600,54640,54000,8300000.000000001,0.0085,2490.05,2497.65,2500.33,2485.48,274200.0,0.0002
2017-10-24,54040,54700,54780,54040,5750000.0,-0.0048,2490.49,2489.31,2497.35,2487.17,232010.0,0.0002
2017-10-25,53900,54040,54420,53700,5870000.0,-0.0026,2492.5,2495.87,2497.41,2481.48,599430.0,0.0008
2017-10-26,52400,53720,53900,52400,9760000.0,-0.0278,2480.63,2489.6,2495.99,2480.63,646880.0,-0.0048
2017-10-27,53080,52400,53320,52140,7390000.0,0.013000000000000001,2496.63,2485.44,2499.15,2479.67,511230.0,0.0064
2017-10-30,54040,53780,54320,53700,8189999.999999999,0.0181,2501.93,2513.87,2513.87,2497.42,342010.0,0.0021
2017-10-31,55080,54060,55440,53500,13300000.0,0.0192,2523.43,2500.21,2528.32,2498.05,313790.0,0.0086
2017-11-01,57220,57500,57500,56180,14280000.0,0.038900000000000004,2556.47,2535.97,2556.47,2535.83,361800.0,0.0131
2017-11-02,57060,57500,57520,56760,10180000.0,-0.0028000000000000004,2546.36,2560.34,2561.63,2542.02,527730.0,-0.004
2017-11-03,56380,57060,57140,55860,9930000.0,-0.011899999999999999,2557.97,2558.37,2558.37,2539.72,292770.0,0.0046
2017-11-06,56380,56380,56500,55340,8960000.0,0.0,2549.41,2557.29,2559.9,2529.94,221190.0,-0.0033
2017-11-07,56100,56380,56920,55860,7460000.0,-0.005,2545.44,2548.3,2554.13,2540.67,253920.0,-0.0016
2017-11-08,56760,56100,57060,55860,8359999.999999999,0.0118,2552.4,2534.48,2558.74,2533.73,277040.0,0.0027
2017-11-09,56340,56920,56920,55900,11990000.0,-0.0074,2550.57,2559.93,2559.93,2536.54,293540.0,-0.0007000000000000001
2017-11-10,56400,55800,56540,55780,6640000.0,0.0011,2542.95,2541.18,2547.61,2534.6,291530.0,-0.003
2017-11-13,56380,56400,56800,56100,7470000.0,-0.0004,2530.35,2548.27,2552.28,2527.2,266530.0,-0.005
2017-11-14,55920,56380,56740,55920,6720000.0,-0.008199999999999999,2526.64,2532.55,2532.95,2520.99,287770.0,-0.0015
2017-11-15,55340,55920,56320,55320,8750000.0,-0.0104,2518.25,2525.6,2526.61,2511.76,398220.0,-0.0033
2017-11-16,55780,55440,56000,55400,7620000.0,0.008,2534.79,2522.42,2538.28,2514.51,302930.0,0.0066
2017-11-17,55820,56400,56880,55820,10370000.0,0.0007000000000000001,2533.99,2546.05,2559.1,2533.99,362190.0,-0.0003
2017-11-20,55200,55900,55980,55200,9450000.0,-0.0111,2527.67,2536.8,2542.62,2523.52,404260.0,-0.0025
2017-11-21,55280,55400,55840,55280,9920000.0,0.0014000000000000002,2530.7,2533.85,2539.88,2525.96,484890.0,0.0012
2017-11-22,55960,55980,56200,55620,7890000.0,0.0123,2540.51,2546.61,2553.22,2535.19,485670.0,0.0039000000000000003
2017-11-23,55300,55960,55980,55020,6210000.0,-0.0118,2537.15,2542.34,2544.58,2532.45,391290.0,-0.0013
2017-11-24,55460,55300,55500,55180,4420000.0,0.0029,2544.33,2539.79,2544.33,2533.98,297940.0,0.0028000000000000004
2017-11-27,52640,55360,55360,52640,18090000.0,-0.0508,2507.81,2544.74,2546.71,2506.69,284890.0,-0.0144
2017-11-28,53280,52700,53280,51720,13390000.0,0.012199999999999999,2514.19,2512.52,2521.06,2500.93,348240.0,0.0025
2017-11-29,52600,53200,53240,52500,9580000.0,-0.0128,2512.9,2517.26,2524.41,2508.66,301210.0,-0.0005
2017-11-30,50800,50800,51860,50200,28090000.0,-0.0342,2476.37,2502.22,2506.32,2474.28,339020.0,-0.014499999999999999
2017-12-01,50840,50800,51780,50800,12460000.0,0.0008,2475.41,2488.92,2488.92,2472.75,288570.0,-0.0004
2017-12-04,51340,50840,51340,50020,13620000.0,0.0098,2501.67,2486.72,2501.67,2476.29,323850.0,0.0106
2017-12-05,51260,50600,51300,50280,9200000.0,-0.0016,2510.12,2490.73,2513.68,2487.15,395430.0,0.0034000000000000002
2017-12-06,50020,51260,51560,50020,10830000.0,-0.0242,2474.37,2510.19,2510.47,2474.29,507620.0,-0.014199999999999999
2017-12-07,50740,50040,50980,50020,11030000.0,0.0144,2461.98,2479.55,2480.85,2452.4,404850.0,-0.005
2017-12-08,52000,51360,52000,51040,10660000.0,0.0248,2464.0,2470.09,2473.17,2459.02,406380.0,0.0008
2017-12-11,51780,52000,52040,51500,8000000.0,-0.0042,2471.49,2467.81,2471.99,2457.98,240140.0,0.003
2017-12-12,52100,51820,52100,51660,8050000.000000001,0.0062,2461.0,2471.23,2471.43,2455.39,281190.0,-0.0042
2017-12-13,51320,52100,52100,51100,11080000.0,-0.015,2480.55,2462.42,2481.92,2457.7,254950.0,0.0079
2017-12-14,51060,51320,52280,51060,19980000.0,-0.0051,2469.48,2486.57,2514.61,2469.48,317790.0,-0.0045000000000000005
2017-12-15,50620,51240,51480,50520,14850000.0,-0.0086,2482.07,2488.39,2495.08,2475.99,340760.0,0.0051
